               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.022821,            0.010134,                   0,             0.96076,             0.95715,             0.97647,             0.65432,            0.024428,           0.0093152,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.023021,            0.010425,                   0,             0.96092,             0.96132,             0.97964,             0.65731,            0.024464,           0.0091197,                   0,            0.001882,            0.001882,            0.001882
                  84,             0.02277,              0.0103,                   0,             0.95551,             0.95679,              0.9788,             0.65914,            0.024466,           0.0093057,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.022441,            0.009825,                   0,             0.95211,             0.95679,             0.98013,             0.65574,            0.024484,           0.0092504,                   0,            0.001684,            0.001684,            0.001684
                  86,             0.02247,            0.010258,                   0,             0.95684,             0.95062,             0.97696,             0.65275,            0.024325,           0.0092817,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.022443,            0.010524,                   0,             0.95644,             0.94873,             0.97835,              0.6558,            0.024343,           0.0091521,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.022147,            0.010585,                   0,             0.95652,             0.95679,             0.97973,             0.65635,            0.024288,           0.0092109,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.022983,            0.010355,                   0,             0.95595,             0.95062,             0.98027,             0.65932,             0.02417,           0.0092866,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.022291,            0.010302,                   0,             0.95677,             0.95623,             0.97977,             0.66001,            0.024357,           0.0092722,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.022344,            0.010146,                   0,             0.94999,             0.95473,             0.97863,              0.6576,            0.024219,           0.0092081,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.021666,            0.010019,                   0,             0.95326,             0.95473,             0.97798,             0.66273,            0.024002,           0.0091743,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.021934,           0.0096665,                   0,             0.95856,             0.96502,             0.98114,             0.66089,            0.024034,           0.0090736,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.021945,           0.0099813,                   0,             0.96286,             0.96027,             0.98054,             0.66558,            0.023749,           0.0091189,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.021559,           0.0099299,                   0,             0.94929,             0.96301,             0.97794,             0.66156,            0.024007,            0.009161,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.022254,            0.010046,                   0,             0.95904,             0.96343,             0.98132,             0.65996,            0.023977,           0.0091318,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.021796,           0.0098187,                   0,             0.95647,             0.96296,             0.97831,             0.65956,            0.023861,           0.0091182,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.021556,            0.009756,                   0,             0.95676,             0.95618,              0.9792,             0.66252,            0.023925,           0.0091366,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.021072,           0.0097428,                   0,             0.95569,             0.95885,             0.97983,             0.66194,            0.023826,           0.0090894,                   0,            0.000298,            0.000298,            0.000298
